timestamp,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,year
2023-04-19T11:44:37Z,no,python,yes,hello world,2-3 hours per week,get a good grade by miniming the cost and effort as a complementary part of my study.,4,maybe,yes,yes,2023
2023-04-19T11:47:39Z,yes,r,yes,na,1 hour  per week,get a good grade by miniming the cost and effort as a complementary part of my study.,5,maybe,yes,yes,2023
2023-04-19T11:59:12Z,yes,r,yes,establishing more knowledge in statistical analysis,2-3 hours per week,pass the exam and get the grade and learn some knowledge,6,yes,yes,yes,2023
2023-04-19T12:01:02Z,no,none,no,pass the exam and get the grade and learn some knowledge,1 hour  per week,pass the exam and get the grade and learn some knowledge,5,maybe,no,okay-okay,2023
2023-04-19T12:01:51Z,yes,r,yes,refresh my knowledge,2-3 hours per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",3,no,yes,okay-okay,2023
2023-04-19T12:02:56Z,no,none,no,good grade,1 hour  per week,get a good grade by miniming the cost and effort as a complementary part of my study.,2,no,yes,yes,2023
2023-04-19T12:03:06Z,yes,"r, spss",yes,refreshing statistics knowledge,1 hour  per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,maybe,yes,okay-okay,2023
2023-04-19T12:13:58Z,yes,python,yes,na,1 hour  per week,get a good grade by miniming the cost and effort as a complementary part of my study.,7,no,yes,yes,2023
2023-04-19T12:57:34Z,yes,r,no,na,2-3 hours per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,no,yes,no,2023
2023-04-19T12:59:58Z,yes,stata,yes,preparation for the exam,"1 hour  per week, 2-3 hours per week","learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,yes,yes,okay-okay,2023
2023-04-19T13:03:13Z,yes,none,yes,pass the exam,2-3 hours per week,pass the exam and get the grade and learn some knowledge,6,maybe,yes,yes,2023
2023-04-19T13:22:19Z,yes,stata,yes,refresh of knowledge,1 hour  per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,maybe,yes,yes,2023
2023-04-19T13:22:19Z,yes,stata,yes,refresh of knowledge,1 hour  per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,maybe,yes,yes,2023
2023-04-19T13:43:26Z,yes,r,yes,"",1 hour  per week,pass the exam and get the grade and learn some knowledge,5,maybe,yes,yes,2023
2023-04-19T14:10:43Z,yes,python,yes,"",2-3 hours per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",3,yes,yes,yes,2023
2023-04-19T14:43:24Z,no,r,no,more knowledge about statistics,1 hour  per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",4,maybe,yes,yes,2023
2023-04-19T15:03:35Z,yes,r,yes,better intuitive statistical understanding,2-3 hours per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",4,no,yes,okay-okay,2023
2023-04-19T15:35:45Z,no,python,yes,be prepared for the exam,1 hour  per week,get a good grade by miniming the cost and effort as a complementary part of my study.,3,no,yes,yes,2023
2023-04-19T16:03:15Z,yes,r,yes,deeper insight into the practice,2-3 hours per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",7,maybe,no,no,2023
2023-04-19T17:11:21Z,yes,"gretl, jmp",yes,na,1 hour  per week,pass the exam and get the grade and learn some knowledge,4,maybe,yes,okay-okay,2023
2023-04-19T20:57:15Z,yes,r,yes,being perfectly prepared for the exam + basis for the master thesis,1 hour  per week,get a good grade by miniming the cost and effort as a complementary part of my study.,4,maybe,yes,yes,2023
2023-04-20T23:44:06Z,no,na,no,,1 hour  per week,pass the exam and get the grade and learn some knowledge,9,maybe,yes,yes,2023
2023-04-20T23:44:06Z,no,na,no,na,1 hour  per week,pass the exam and get the grade and learn some knowledge,9,maybe,yes,yes,2023
2023-04-21T11:21:16Z,yes,r,yes,learn how to use stata,2-3 hours per week,"learn some knowledge and gain pratical skills and pass the exam, and get good grade",3,maybe,yes,okay-okay,2023
